title,appln_auth,appln_nr,appln_kind,appln_filing_date,appln_filing_year,appln_nr_original,ipr_type
"CSFV (Classical Swine Fever Virus), PRRSV (Porcine Reproductive and PCV2 (Porcine Circovirus 2) multiplex SYBR Green I real-time fluorescence PCR (Polymerase Chain Reaction) primer and detection method thereof",CN,201110221715,A ,2011-08-04 00:00:00,2011.0,2011102217156,PI
Competitive enzyme linked immunosorbent assay kit for detecting anti-African swine fever antibody in serum,CN,202111227502,A ,2021-10-21 00:00:00,2021.0,202111227502,PI
"Piperidine compounds, and preparation method, pharmaceutical compositions and use thereof",CN,201310217590,A ,2013-06-03 00:00:00,2013.0,2013102175909,PI
ANTIMICROBIAL PYRIDINOHYDRAZIDE AND HYDRAZOMETHYLPYRIDINE-BASED AGENTS,WO,2016024175,W ,2016-03-25 00:00:00,2016.0,US2016/024175,PI
Moxibustion centralized treatment device,CN,201821870953,U ,2018-11-13 00:00:00,2018.0,201821870953,UM
Multi -functional intelligent sound wave physiotherapy equipment,CN,201720202277,U ,2017-02-23 00:00:00,2017.0,201720202277,UM
WELL PLATE FOR CELL AND ANALYSIS METHOD OF CELL SECRETION SUBSTANCE,JP,2013114722,A ,2013-05-30 00:00:00,2013.0,2013114722,PI
Traditional Chinese medicine patch for quieting spirit and improving sleep,CN,201811029639,A ,2018-09-05 00:00:00,2018.0,201811029639,PI
CULTIVATION OF AEROBIC MICROORGANISM,JP,19886685,A ,1985-09-09 00:00:00,1985.0,60198866,PI
Use of ICRF-193 derivatives to prevent chronic cumulative cardiotoxicity due to anthracycline anticancer therapy,CZ,202026,A ,2020-01-16 00:00:00,2020.0,2020-26,PI
Medicine carrying base for dental implant,CN,201210182140,A ,2012-06-05 00:00:00,2012.0,2012101821406,PI
Post-prostatic puncture hemostasis device,CN,202021327777,U ,2020-07-08 00:00:00,2020.0,202021327777,UM
Ankle joint function corrector for preventing foot ectropion of cerebral infarction patient,CN,201920261842,U ,2019-03-01 00:00:00,2019.0,201920261842,UM
A novel RNAi molecule delivery platform based on single-siRNA and shRNA nanocapsules,AU,2020201775,A ,2020-03-11 00:00:00,2020.0,2020201775,PI
Novel canine rotavirus,KR,20070051112,A ,2007-05-25 00:00:00,2007.0,1020070051112,PI
Human virus causing respiratory tract infection and uses thereof,US,47601909,A ,2009-06-01 00:00:00,2009.0,12476019,PI
Intelligent disinfection door channel,CN,202022298063,U ,2020-10-15 00:00:00,2020.0,202022298063,UM
Auxiliary delivery apparatus for department of gynaecology and obstetrics,CN,202011306224,A ,2020-11-19 00:00:00,2020.0,202011306224,PI
Disinfection cabinet for hardware product,CN,201810122041,A ,2018-02-07 00:00:00,2018.0,201810122041,PI
Moxa-moxibustion instrument capable of effectively utilizing medicine,CN,201420368943,U ,2014-07-04 00:00:00,2014.0,2014203689435,UM
Method for photocatalytic degradation of organic pollutants by taking light-emitting diode as light source,CN,200910052491,A ,2009-06-04 00:00:00,2009.0,2009100524913,PI
Double -barrelled bivalve infusion bag convenient to filling,CN,201520608115,U ,2015-08-13 00:00:00,2015.0,2015206081159,UM
Qi-tonifying spleen-regulating perfume satchel and manufacturing method thereof,CN,201711460217,A ,2017-12-28 00:00:00,2017.0,201711460217,PI
Four-limb protecting tool with protecting function for psychiatric treatment,CN,202010553593,A ,2020-06-17 00:00:00,2020.0,202010553593,PI
Thrombus aspiration system,CN,202021079623,U ,2020-06-12 00:00:00,2020.0,202021079623,UM
Application of T-LAK cell-originated protein kinase (TOPK) serving as cisplatin resistance therapy target for cervical cancer,CN,202010047732,A ,2020-01-16 00:00:00,2020.0,202010047732,PI
Composition for treating and preventing mastitis,CN,202110615937,A ,2021-06-02 00:00:00,2021.0,202110615937,PI
Seal structure of endoscope operating portion,CN,201820275048,U ,2018-02-27 00:00:00,2018.0,201820275048,UM
USE OF SPHONDIN AS AN EFFECTIVE COMPONENT IN PREPARING MEDICINE FOR TREATING HEPATITIS B,AU,2021107213,A ,2021-08-25 00:00:00,2021.0,2021107213,PI
Sampling device is gathered to cord blood,CN,201620386831,U ,2016-04-29 00:00:00,2016.0,201620386831,UM
Separation brain piece electricity signal record device based on novel stimulating electrode,CN,201620471466,U ,2016-05-23 00:00:00,2016.0,201620471466,UM
"Transfer device for clinical diagnosis, treatment and nursing of heavy craniocerebral injury patient",CN,202021713572,U ,2020-08-17 00:00:00,2020.0,202021713572,UM
FUE-specific skin tensioner,CN,202121430568,U ,2021-06-25 00:00:00,2021.0,202121430568,UM
Peptic ulcer detection device,CN,202011124708,A ,2020-10-20 00:00:00,2020.0,202011124708,PI
Automatic pulse condition detection system based on flexible sensor and detection method,CN,201910088314,A ,2019-01-29 00:00:00,2019.0,201910088314,PI
POLYHALOGENATED PROPENE BENZOQUINONE DIOXIME DERIVATIVES AND ITS USE AS PESTICIDES,WO,2005010360,W ,2005-09-24 00:00:00,2005.0,EP2005/010360,PI
Anti-splashing vomiting cup with measuring function,CN,202021129154,U ,2020-06-17 00:00:00,2020.0,202021129154,UM
Foot measuring device and multi-dimensional foot feature analyzing system and method,CN,201910426948,A ,2019-05-22 00:00:00,2019.0,201910426948,PI
Onion-Chinese wolfberry fruit-mulberry fruit grape wine and preparation method thereof,CN,201610552396,A ,2016-07-14 00:00:00,2016.0,201610552396,PI
Medical physiotherapy lamp,CN,202020511237,U ,2020-04-09 00:00:00,2020.0,202020511237,UM
Immunoprophylactic polypeptides for schistosomiasis,US,25207588,A ,1988-09-30 00:00:00,1988.0,252075,PI
Method for preparing rotavirus vaccine stock solution by using serum-free Vero cells and serum-free rotavirus vaccine product,CN,201710041301,A ,2017-01-20 00:00:00,2017.0,201710041301,PI
Rehabilitation physiotherapy belt,CN,201920372633,U ,2019-03-22 00:00:00,2019.0,201920372633,UM
Capsule breaking mechanism for dry powder inhalation delivery device,CN,201610389658,A ,2016-06-06 00:00:00,2016.0,201610389658,PI
HETEROAROMATIC COMPOUNDS AS DOPAMINE D1 LIGANDS,CA,2889572,A ,2013-10-30 00:00:00,2013.0,2889572,PI
Heart rate estimation method and device and electronic equipment applying heart rate estimation method and device,CN,201911166001,A ,2019-11-25 00:00:00,2019.0,201911166001,PI
PYRIDINE-2-AMIDES USEFUL AS CANNABINOID RECEPTOR 2 AGONISTS,EA,201591008,A ,2013-12-04 00:00:00,2013.0,201591008,PI
Method for predicting blood pressure and device,CN,202010110287,A ,2020-02-21 00:00:00,2020.0,202010110287,PI
Saccharomyces cerevisiae of overexpression MIG1 genes and preparing method and application of saccharomyces cerevisiae,CN,201510363139,A ,2015-06-26 00:00:00,2015.0,2015103631397,PI
Ear canal medicine applying device,CN,202023294609,U ,2020-12-31 00:00:00,2020.0,202023294609,UM
"DIAGNOSTICS AND THERAPEUTICS FOR DISEASES ASSOCIATED WITH ENDOTHELIAL DIFFERENTIATION, SPHINGOLIPID G-PROTEIN-COUPLED RECEPTOR 4 (EDG4)",WO,0312126,W ,2003-10-31 00:00:00,2003.0,EP2003012126,PI
Ultrasonic physiotherapy device for muscular atrophy nursing based on oscillating circuit device,CN,202011088269,A ,2020-10-13 00:00:00,2020.0,202011088269,PI
Equipment for culturing drug-resistant bacteria in mariculture fish bodies,CN,201821506576,U ,2018-09-14 00:00:00,2018.0,201821506576,UM
Intelligent eyesight detection device,CN,202020949472,U ,2020-05-29 00:00:00,2020.0,202020949472,UM
Recurrent gene fusions in prostate cancer,US,201514864466,A ,2015-09-24 00:00:00,2015.0,14864466,PI
Electric Chinese medicine decocting kettle,CN,201020665774,U ,2010-12-17 00:00:00,2010.0,2010206657743,UM
Anaerobic digestion processing apparatus is united to organic rubbish,CN,201521137182,U ,2015-12-30 00:00:00,2015.0,2015211371823,UM
Method for extracting Chinese toon seeds general flavone,CN,201910553861,A ,2019-06-25 00:00:00,2019.0,201910553861,PI
Improved massage chair capable of realizing large-area massage,CN,202010721114,A ,2020-07-24 00:00:00,2020.0,202010721114,PI
Novel energy-saving environmentally friendly constant temperature incubator,CN,201710167904,A ,2017-03-17 00:00:00,2017.0,201710167904,PI
METHOD FOR TEST ON DIABETIC NEPHROPATHY,US,201715401698,A ,2017-01-09 00:00:00,2017.0,15401698,PI
Screw-locking sacroiliac joint screw placement auxiliary device,CN,201911066674,A ,2019-11-04 00:00:00,2019.0,201911066674,PI
Nursing bed lumbar support mechanism,CN,201620026216,U ,2016-01-12 00:00:00,2016.0,201620026216X,UM
Detection method for bovine FRAS1 gene insertion/deletion mutation and application thereof,CN,202110302857,A ,2021-03-22 00:00:00,2021.0,202110302857,PI
Closed extraction apparatus for single sample nucleic acid,CN,201320884328,U ,2013-12-30 00:00:00,2013.0,2013208843285,UM
Minimally invasive wound supporting device,CN,202021286982,U ,2020-07-03 00:00:00,2020.0,202021286982,UM
Method and system for standardizing paediatric antibiotic application,CN,201510835340,A ,2015-11-25 00:00:00,2015.0,2015108353400,PI
TRIAZOLE COMPOUNDS AS ANTIVIRALS,CA,2873512,A ,2013-07-03 00:00:00,2013.0,2873512,PI
Single-stranded DNA nucleic acid aptamer and screening method and use thereof,CN,201910108955,A ,2019-02-03 00:00:00,2019.0,201910108955,PI
Adjustable active microalgae nutrient solution cultivation shelf,CN,201921629224,U ,2019-09-27 00:00:00,2019.0,201921629224,UM
Cell culture protection device,CN,201621460065,U ,2016-12-28 00:00:00,2016.0,201621460065,UM
Pleural effusion puncturing drainage device,CN,201220576934,U ,2012-11-05 00:00:00,2012.0,2012205769346,UM
Dressing change device for outpatient nursing,CN,202120453246,U ,2021-03-02 00:00:00,2021.0,202120453246,UM
Dictionary compression for magnetic resonance fingerprinting,CN,201910423694,A ,2019-05-21 00:00:00,2019.0,201910423694,PI
Inhalant containing sodium 2-mercaptoethane sulfonate and budesonide and preparation method thereof,CN,201110184124,A ,2011-07-01 00:00:00,2011.0,2011101841246,PI
METHOD AND KIT FOR THE RAPID SEQUENCING OF THE HUMAN ATM GENE AND METHOD FOR THE DIAGNOSIS OF ATAXIA TELANGIECTASIA,WO,2016055461,W ,2016-09-14 00:00:00,2016.0,IB2016/055461,PI
Medical bed for transferring emergency critical patient,CN,201920105090,U ,2019-01-22 00:00:00,2019.0,,UM
Multiple-freedom degree wearing type rehabilitation training robot for function of hand and control system thereof,CN,200810236681,A ,2008-12-05 00:00:00,2008.0,A2008102366816,PI
CURCUMA MANGGA VAL ET. ZIPP. EXTRACT AS A TREATMENT TO OVERCOME PROSTATE PROBLEMS,WO,2014000004,W ,2014-06-03 00:00:00,2014.0,ID2014/000004,PI
CELL-TRANSPORTING CONTAINER,JP,2011179491,A ,2011-08-19 00:00:00,2011.0,2011179491,PI
SUBSTANCE DETECTING METHOD AND SYSTEM,JP,29118799,A ,1999-10-13 00:00:00,1999.0,29118799,PI
Intelligent shower cubicle,CN,201810258808,A ,2018-03-27 00:00:00,2018.0,201810258808,PI
Antitetanus toxin neutralizing antibody as well as preparation method and application thereof,CN,201810404462,A ,2018-04-28 00:00:00,2018.0,201810404462,PI
Chinese medicinal nose mask for removing nose blackheads,CN,200810158563,A ,2008-11-03 00:00:00,2008.0,200810158563,PI
Liquid diet feeding device for bedridden patient,CN,202120636078,U ,2021-03-29 00:00:00,2021.0,202120636078,UM
Wireless wide hairdo human body component analyzer and system,CN,201620510551,U ,2016-05-30 00:00:00,2016.0,201620510551,UM
Composite bacterial agent and biological method for treating flow-back fracturing fluid to obtain oil displacement active water,CN,201010215973,A ,2010-07-02 00:00:00,2010.0,2010102159739,PI
NUCLEIC ACID APTAMERS,US,202117163761,A ,2021-02-01 00:00:00,2021.0,17163761,PI
Stem cells isolated device,CN,201820803722,U ,2018-05-28 00:00:00,2018.0,201820803722,UM
Minimally invasive power supply for driving medical instruments implanted in human body,CN,200710062602,A ,2007-01-11 00:00:00,2007.0,A200710062602X,PI
DEVICE FOR WITHDRAWING BIOLOGICAL SAMPLES,EP,98954184,A ,1998-09-11 00:00:00,1998.0,98954184,PI
Quantitative mouse smoky device of flue gas,CN,201621245754,U ,2016-11-17 00:00:00,2016.0,201621245754,UM
Recombinant strains expressing chondroitin 4-sulfotransferase gene and application of recombinant strain,CN,201910208303,A ,2019-03-19 00:00:00,2019.0,201910208303,PI
Ultrasonic volume measuring probe and measuring method thereof,CN,201410006242,A ,2014-01-07 00:00:00,2014.0,2014100062421,PI
Grafting survival method of walnut test tube seedlings outside test tube,CN,201010231922,A ,2010-07-17 00:00:00,2010.0,2010102319225,PI
"5,7,3',4'-TETRAHYDOXY FLAVANONE HAVING PROTECTIVE ACTIVITY ON THE UV-INDUCED CELL DEATH IN HUMAN KERATINOCYTES",KR,20060005735,A ,2006-01-19 00:00:00,2006.0,1020060005735,PI
System for catheter manipulation,US,201515517629,A ,2015-10-08 00:00:00,2015.0,15517629,PI
Convenient-to-use drainage apparatus for internal medicine,CN,201821966569,U ,2018-11-27 00:00:00,2018.0,201821966569,UM
DISEASE INFORMATION MANAGEMENT SYSTEM,WO,2019126692,W ,2019-12-19 00:00:00,2019.0,CN2019/126692,PI
METHODS OF TREATING MITOCHONDRIAL DYSFUNCTION,US,201615293640,A ,2016-10-14 00:00:00,2016.0,15293640,PI
Portable clinical monitor for neurology department,CN,202020378226,U ,2020-03-24 00:00:00,2020.0,202020378226,UM
Multiparameter physiological detector,CN,201810792311,A ,2018-07-18 00:00:00,2018.0,201810792311,PI
Systems and methods for valve delivery,US,1289708,A ,2008-02-05 00:00:00,2008.0,12012897,PI
Composition for improving mitochondria function comprising carbon monoxide or carbon monoxide donor,KR,20160117787,A ,2016-09-13 00:00:00,2016.0,1020160117787,PI
Tectorial membrane methane -generating pit separation and collection device,CN,201620852032,U ,2016-08-05 00:00:00,2016.0,201620852032,UM
Household wireless heart rate and body temperature measuring and recording system,CN,202021775938,U ,2020-08-24 00:00:00,2020.0,202021775938,UM
Prosthetic thigh socket,CN,202021973536,U ,2020-09-10 00:00:00,2020.0,202021973536,UM
Intelligent bone cutting system and bone cutting device,CN,202010642040,A ,2020-07-06 00:00:00,2020.0,202010642040,PI
Red blood cell lysis solution and lysis method thereof,CN,201310200383,A ,2013-05-24 00:00:00,2013.0,2013102003832,PI
"Feeding, split-charging and collecting device for spinner bottle cultivation of cells",CN,201320238690,U ,2013-05-06 00:00:00,2013.0,2013202386905,UM
Silicon microneedle with composite structure,CN,202120900036,U ,2021-04-28 00:00:00,2021.0,202120900036,UM
Lactobacillus crispatus capable of preventing and/or treating helicobacter pylori infection,CN,202010479611,A ,2020-05-29 00:00:00,2020.0,202010479611,PI
Traditional Chinese medicine granules for treating arrhythmia and preparation method thereof,CN,201511031508,A ,2015-12-31 00:00:00,2015.0,2015110315089,PI
"ION GENERATOR, AND ELECTRIC APPARATUS USING IT",JP,2009211781,A ,2009-09-14 00:00:00,2009.0,2009211781,PI
"3,3'-SPIROINDOLINONE DERIVATIVES AND THEIR USE FOR CANCER",CA,2758640,A ,2010-04-20 00:00:00,2010.0,2758640,PI
NANOPARTICLE CARRIER SYSTEMS BASED ON POLY(DL-LACTIC-CO-GLYCOLIC ACID) (PLGA) FOR PHOTODYNAMIC THERAPY (PDT),EP,10836583,A ,2010-12-08 00:00:00,2010.0,10836583,PI
Detection kit of nucleic acid of klebsiella pneumoniae KPC (Klebsiella Pneumoniae Carbapenmase) type carbapenemases gene,CN,201310035124,A ,2013-01-30 00:00:00,2013.0,2013100351249,PI
Infiltration type in vitro anorectum medication treating device,CN,201910486172,A ,2019-06-05 00:00:00,2019.0,201910486172,PI
Chest drainage tube with pipeline clamping function,CN,202022799999,U ,2020-11-27 00:00:00,2020.0,202022799999,UM
Novel goose astrovirus with cross-species transmission capacity and application thereof,CN,202011135976,A ,2020-10-22 00:00:00,2020.0,202011135976,PI
Recombinant single stranded human FVIII-Fc fusion protein and application thereof,CN,201611203557,A ,2016-12-23 00:00:00,2016.0,201611203557,PI
KIT AND METHOD FOR PREDICTING PROGNOSIS OF PATIENT SUFFERING FROM GASTROINTESTINAL STROMAL TUMOR,JP,2011095447,A ,2011-04-21 00:00:00,2011.0,2011095447,PI
Method for constructing laryngeal cancer cell line for stably expressing green fluorescent protein,CN,201810991320,A ,2018-08-29 00:00:00,2018.0,201810991320,PI
Anti-residue oxygen-protecting oxygen bag,CN,201010220095,A ,2010-07-07 00:00:00,2010.0,201010220095,PI
Three-cavity structure of high-strength ultrasonic adjuvant therapy probe,CN,201920917693,U ,2019-06-18 00:00:00,2019.0,201920917693,UM
"Nitrosated nonsteroidal antiinflammatory compounds, compositions and methods of use",US,13435805,A ,2005-05-23 00:00:00,2005.0,11134358,PI
ULTRASOUND DEVICE TRACKING SYSTEM,WO,2021085222,W ,2021-12-10 00:00:00,2021.0,EP2021/085222,PI
ISOLATION OF MAMMALIAN HEMATOPOIETIC STEM CELLS,WO,9609415,W ,1996-06-05 00:00:00,1996.0,US9609415,PI
HETEROCYCLIC MODULATORS OF PKB,WO,2008008723,W ,2008-07-16 00:00:00,2008.0,US2008/008723,PI
SYSTEMS AND METHODS FOR DELIVERING DRUGS TO RETINAL TISSUE,WO,2017065796,W ,2017-12-12 00:00:00,2017.0,US2017/065796,PI
Antimicrobial peptide PtR946 derived from pinellia tubers and applications of antimicrobial peptide,CN,202010015599,A ,2020-01-07 00:00:00,2020.0,202010015599,PI
"Primer, method and kit for PCA 3 gene dual real-time PCR of prostate cancer",CN,201910622955,A ,2019-07-11 00:00:00,2019.0,,PI
"Oral cavity area identification method and apparatus, computer device and storage medium",CN,201910814522,A ,2019-08-30 00:00:00,2019.0,201910814522,PI
Medical-care wound cleaning device for orthopaedics,CN,201811592223,A ,2018-12-25 00:00:00,2018.0,201811592223,PI
Automatic nucleic acid extractor,CN,202021214768,U ,2020-06-28 00:00:00,2020.0,202021214768,UM
Chinese medicinal composition for treating bellyache and preparation method thereof,CN,201010156961,A ,2010-04-27 00:00:00,2010.0,2010101569613,PI
Glioma prognostic marker circ1:29154696|29154910 and application,CN,201711453836,A ,2017-12-28 00:00:00,2017.0,201711453836,PI
Woven stent with adjustable radial supporting force,CN,201822276994,U ,2018-12-30 00:00:00,2018.0,,UM
Method of measuring physiological function,EP,07075440,A ,2000-01-20 00:00:00,2000.0,07075440,PI
ADENOCARCINOMA ANTIGENIC DETERMINANTS AND METHODS,WO,2017025982,W ,2017-04-04 00:00:00,2017.0,US2017/025982,PI
Track-based horizontal motion unit and three-directional holding travelling mechanism,CN,201810341920,A ,2018-04-17 00:00:00,2018.0,201810341920,PI
Hemorrhoids loop ligature device with replaceable negative pressure suction head,CN,202022938235,U ,2020-12-10 00:00:00,2020.0,202022938235,UM
Newborn umbilical cord nursing device,CN,202121949633,U ,2021-08-18 00:00:00,2021.0,202121949633,UM
Gestation period blood sugar health analysis system,CN,201910612409,A ,2019-07-09 00:00:00,2019.0,201910612409,PI
Cardiosurgical postoperative anti-inflammatory sterilization device,CN,201921199693,U ,2019-07-26 00:00:00,2019.0,201921199693,UM
SUBSTITUTED PYRROLOPYRIMIDINES AND PROCESSES FOR THEIR PREPARATION,EP,97940108,A ,1997-08-21 00:00:00,1997.0,97940108,PI
Health-care food composition capable of eliminating dampness and invigorating spleen and preparation method of health-care food composition,CN,201810146954,A ,2018-02-12 00:00:00,2018.0,201810146954,PI
"ANTIOXIDIZING, ANTIAGING, OR ANTI-INFLAMMATORY COMPOSITION FOR STRENGTHENING SKIN BARRIER AND CARING FOR SKIN CELL DAMAGE CAUSED BY FINE DUST INCLUDING FERMENTED TEA EXTRACT",CN,201880077666,A ,2018-08-23 00:00:00,2018.0,201880077666,PI
"Waste disposal system is planted, bred",CN,201721659517,U ,2017-12-04 00:00:00,2017.0,201721659517,UM
4-thio-deoxythymidine derivative and anti-hepatitis B virus pharmaceutical application thereof,CN,202111036007,A ,2021-09-06 00:00:00,2021.0,202111036007,PI
Head supporting frame for operation,CN,202122315671,U ,2021-09-24 00:00:00,2021.0,202122315671,UM
Rope type internal fixation device for orthopedics department,CN,201410365007,A ,2014-07-29 00:00:00,2014.0,2014103650073,PI
Hydrogen and oxygen supply amount adjusting mechanism,CN,202021370708,U ,2020-07-13 00:00:00,2020.0,202021370708,UM
TECHNIQUES AND COMPOSITIONS FOR TREATING HEART FAILURE AND VENTRICULAR REMODELING BY IN VIVO DELIVERY OF ANGIOGENIC TRANSGENES,EA,199901002,A ,1998-04-30 00:00:00,1998.0,199901002,PI
Antibody or antigen binding fragment thereof for novel coronavirus nucleocapsid protein and application of antibody or antigen binding fragment thereof,CN,202110273293,A ,2021-03-15 00:00:00,2021.0,202110273293,PI
Method for removing ginkgolic acid from ginkgo biloba extract,CN,201310150791,A ,2013-04-26 00:00:00,2013.0,2013101507911,PI
Eukaryote CRISPR/Cas whole genome editing vector library and construction method,CN,202010378950,A ,2020-05-07 00:00:00,2020.0,202010378950,PI
MUTATED HUMAN MITOCHONDRIA GENE AND ITS APPLICATION FOR DIABETES MELLITUS GENE DIAGNOSIS,JP,2319698,A ,1998-02-04 00:00:00,1998.0,10023196,PI
