doi,source_id,title_paper,title_patent,y_pred
10.1007/978-3-319-94593-4_9,21100337505.0,"Large de novo microdeletion in epilepsy with intellectual and developmental disabilities, with a systems biology analysis","Disease prediction method and device, equipment, computer-readable storage medium",1
10.1111/j.1745-7254.2008.00804.x,19403.0,Co-expression of KCNE2 and KChIP2c modulates the electrophysiologi-cal properties of Kv4.2 current in COS-7 cells,Purposes of polydatin in preparing anti-arrhythmic products,1
10.1016/j.chemosphere.2019.124747,24657.0,"Transcriptome analysis in normal human liver cells exposed to 2, 3, 3″, 4, 4″, 5 - Hexachlorobiphenyl (PCB 156)","Quinazoline derivative, preparation method thereof, and application thereof in tumor cell inhibition",1
10.1016/j.lungcan.2019.04.024,12391.0,Propensity-matched analysis of adjuvant chemotherapy for completely resected Stage IB non-small-cell lung cancer patients,Use of eubacterium in the prevention and treatment for colorectal cancer related diseases,1
10.1016/j.wneu.2018.04.193,19700171401.0,Related Research and Recent Progress of Ischemic Penumbra,Processing method of dried root of Panax quinquefolius L.,1
10.1089/soro.2019.0089,21100779064.0,Adaptive Variable Stiffness Particle Phalange for Robust and Durable Robotic Grasping,A multi-stage control structure and pH capsule operating handle,1
10.1093/nass/44.1.193,58617.0,"Cytotoxic mechanisms of inhibitor of RNA synthesis, 1-(3-C-ethynyl-beta-D-ribo-pentofuranosyl)cytosine (ECyd, TAS-106).",88SUBSTITUTED ADENOSINE DERIVATIVE AND ITS PREPARATION,1
10.4268/cjcmm20150813,22937.0,Study on effect of pH on rectum permeability of active ingredients in Reduning suppositories in vitro,"Medicinal composition for treating gout, preparation method thereof and purposes thereof",1
10.1016/j.fct.2014.05.027,25096.0,Combined subchronic toxicity of dichlorvos with malathion or pirimicarb in mice liver and serum: A metabonomic study,Novel application of drug composition,1
10.1016/j.jconrel.2006.11.016,23010.0,Novel glycidyl methacrylated dextran (Dex-GMA)/gelatin hydrogel scaffolds containing microspheres loaded with bone morphogenetic proteins: Formulation and characteristics,Polypeptide derived from deerskin and having DPP-IV inhibitory activity and application thereof,1
10.1097/MAO.0000000000002406,14314.0,Multi-frequency Electrocochleography Measurements can be Used to Monitor and Optimize Electrode Placement during Cochlear Implant Surgery,SYSTEMS AND METHODS FOR DETECTING A SCALAR TRANSLOCATION OF AN ELECTRODE LEAD WITHIN A COCHLEA OF A COCHLEAR IMPLANT PATIENT,1
10.1086/501623,22344.0,Control of transmission of vancomycin-resistant enterococcus faecium in a long-term-care facility,Antibacterial therapy for multi-drug resistant bacteria,1
10.1016/j.artmed.2017.05.008,24140.0,Prediction of synergistic anti-cancer drug combinations based on drug target network and drug induced gene expression profiles,SiRNA (small interfering ribonucleic acid) sequence of loci from 174-194 in coding area of autophagy related gene Beclin1 and application of siRNA sequence,1
10.1002/eji.1830180118,20779.0,Human recombinant interleukin 4 induces normal B cells to produce soluble CD23/IgE‐binding factor analogous to that spontaneously released by lymphoblastoid B cell lines,BLOOD TRANSCRIPTIONAL SIGNATURE OF ACTIVE VERSUS LATENT MYCOBACTERIUM TUBERCULOSIS INFECTION,1
10.1084/jem.20091309,21272.0,Genetic and pharmacological targeting of activin receptor-like kinase 1 impairs tumor growth and angiogenesis,"Isolated, large latent complexes of TGF- beta 2 and TGF- beta 3, and new binding protein for latent form TGF- beta 1, TGF- beta 2 and TGF- beta 3 LTBP-2",1
10.1007/s11010-009-0379-8,14134.0,Overexpression of Trpp5 contributes to cell proliferation and apoptosis probably through involving calcium homeostasis,BIOMARKER CALB1 FOR DIAGNOSING EARLY STAGES OF DIABETIC NEPHROPATHY,1
10.1111/j.1745-7254.2007.00646.x,19403.0,Inhibition of β-lactamase-mediated oxacillin resistance in Staphylococcus aureus by a deoxyribozyme,"3,3'-(3,4-dichlorobenzylidene)-bis-4-hydroxycoumarin and application thereof in preparation of medicine for resisting multi-drug resistant bacteria",1
10.1016/j.gene.2015.03.043,15636.0,"Role of GTP-CHI links PAH and TH in melanin synthesis in silkworm, Bombyx mori",Application of GUCA1A gene in preparation and detection of cone cell dystrophy products,1
10.1182/blood-2005-02-0691,25454.0,"Clinical factors predictive of outcome with bortezomib in patients with relapsed, refractory multiple myeloma","DIAGNOSIS, PROGNOSIS AND IDENTIFICATION OF POTENTIAL THERAPEUTIC TARGETS OF MULTIPLE MYELOMA BASED ON GENE EXPRESSION PROFILING",1
10.1007/s11427-020-1770-1,19600162144.0,Removal of roosters alters the domestic phenotype and microbial and genetic profile of hens,Primer and probe for detecting FMO3 gene A1034T mutation of chicken,1
10.3109/02699052.2013.775481,14340.0,Variants of SLC6A4 in depression risk following severe TBI,GENETIC MARKERS WHICH IDENTIFY INDIVIDUALS WHO IMPROVE THEIR DIABETES STATUS WITH EXERCISE,1
10.1080/00016489.2019.1654130,13578.0,Canalostomy is an ideal surgery route for inner ear gene delivery in big animal model,Method for promoting regeneration capacity of oral mucosa mesenchymal stem cells and application of method,1
10.1023/A:1020918411532,21745.0,"Cloning, expression, and genomic structure of a novel human Rap2 interacting gene (RPIP9)","A NOVEL POLYPEPTIDE, DNA-DEPENDENT HUMAN PROTEIN KINASE 9 AND THE POLYNUCLEOTIDE ENCODING THE POLYPEPTIDE",1
10.1074/jbc.M602617200,17592.0,A conserved histidine in insulin is required for the foldability of human proinsulin: Structure and function of an Ala<sup>B5</sup> analog,Insulin analogues with selective signaling properties and reduced mitogenicity,1
10.1080/09540105.2015.1126808,15092.0,Development of an immunochromatographic strip assay for ractopamine detection using an ultrasensitive monoclonal antibody,Papaverine monoclonal antibody hybridoma cell strain YH3 and application thereof,1
10.3389/fcell.2021.770811,21100826277.0,CAMSAP1 Mutation Correlates With Improved Prognosis in Small Cell Lung Cancer Patients Treated With Platinum-Based Chemotherapy,Kit for predicating susceptibility of patient with endometrial cancer to chemotherapy drug,1
10.1097/01.ico.0000178740.14212.1a,13816.0,Clinical impact of conjunctivochalasis on the ocular surface,"MEDIUM, FOR CULTURING CORNEAL ENDOTHELIAL CELLS, CONTAINING CONDITIONED MEDIUM FROM MESENCHYMAL STEM CELLS",1
10.1620/tjem.219.177,27703.0,Cisplatin ototoxicity and protection: Clinical and experimental studies,METHODS FOR TREATMENT AND PREVENTION OF OTOTOXICITY BY SIRNA,1
10.1016/j.bmcl.2022.128802,25788.0,"Design, synthesis, and in vivo evaluation of GO-SWL-Ahx-K-SWL","Composition for assisting in reducing blood fat, product containing composition and application",1
10.1007/s10544-010-9478-2,28590.0,Application of high throughput perfusion micro 3-D cell culture platform for the precise study of cellular responses to extracellular conditions -effect of serum concentrations on the physiology of articular chondrocytes,Microfluidic chip for high-throughput perfusion-based three-dimensional cell culture,1
10.1016/j.ajo.2017.04.012,13266.0,Reduced Free Communication of the Subarachnoid Space Within the Optic Canal in the Human,Choledochoscope sheathing canal,1
10.1159/000068478,15029.0,Cerebrospinal fluid beta-amyloid 42 is reduced before the onset of sporadic dementia: A population-based study in 85-year-olds,Biomarkers for Alzheimer's disease,1
10.2967/jnumed.111.088815,17230.0,<sup>11</sup>C-NS14492 as a novel PET radioligand for imaging cerebral α7 nicotinic acetylcholine receptors: In vivo evaluation and drug occupancy measurements,"NOVEL 3,9-DIAZA-SPIRO[5.5]UNDECANE DERIVATIVES AND THEIR USE AS MONOAMINE NEUROTRANSMITTER RE-UPTAKE INHIBITORS",1
10.1002/biot.201000427,4900152305.0,Miniaturized lensless imaging systems for cell and microorganism visualization in point-of-care testing,Microfluidic device and method for in-vitro 3D culture of cells and tissue,1
10.1016/j.cuor.2008.05.008,29633.0,(v) Molecular and cellular biology of the intervertebral disc and the use of animal models,Method and kit for predicting susceptibility of ankylosing spondylitis,1
10.1006/geno.1998.5618,22215.0,"Identification of PKD2L, a human PKD2-related gene: Tissue-specific expression and mapping to chromosome 10q25",Polycystic kidney disease PKD2 gene and uses thereof,1
10.1016/j.canlet.2020.05.010,29160.0,"Corrigendum to “SOMCL-863, a novel, selective and orally bioavailable small-molecule c-Met inhibitor, exhibits antitumor activity both in vitro and in vivo” [Cancer Lett. 351 (2014) 143–50] (Cancer Letters (2014) 351(1) (143–150), (S0304383514002699), (10.1016/j.canlet.2014.05.012))",CAMPTOTHECIN DERIVATIVES AND THEIR USE,1
10.1016/j.aca.2018.11.044,23911.0,Enzyme-free colorimetric detection of MicroRNA-21 using metal chelator as label for signal generation and amplification,"Crown ether cyclic quinazoline compound, preparation method therefor and application thereof in preparing tumor therapy and imaging drug",1
10.4103/0366-6999.161396,29225.0,Technique of tubularized bladder mucosa method for treating recurrent vesicoureteral reflux,Traditional Chinese medicine decoction for treating night polyuria,1
10.3855/jidc.8132,17700155407.0,Microbiological characteristics of hypermucoviscous klebsiella pneumoniae isolates from different body fluids,Rapid culture plate for microbiological detection,1
10.1002/14651858.CD005517.pub3,29775.0,Materials for retrograde filling in root canal therapy,Magnetic adsorption type angle-adjustable root canal length measuring instrument,1
10.1517/13543776.16.3.265,21353.0,Therapeutic innovations against HIV,"Piperidinylethyl-, phenoxyethyl-, and beta-fluorophenethyl-substituted thiourea compounds with potent anti-HIV activity",1
10.1021/ol3000124,26396.0,"Pallambins A and B, unprecedented hexacyclic 19-nor-secolabdane diterpenoids from the Chinese liverwort Pallavicinia ambigua","Chinese traditional medicine composite for clearing lung, eliminating phlegm, relieving cough & asthma and preparation method thereof",1
10.1093/annonc/mdl109,28711.0,Mast cells in Waldenstrom's macroglobulinemia support lymphoplasmacytic cell growth through CD154/CD40 signaling,HIGH PURITY MAST CELLS AND BASOPHILS AND METHODS FOR IN VITRO DIFFERENTIATION THEREOF,1
10.1021/jm00055a006,23041.0,Syntheses and Biological Evaluations of 3′-Deoxy-3′-C-Branched-Chain-Substituted Nucleosides,L-NUCLEOSIDES FOR THE TREATMENT OF HEPATITIS B-VIRUS AND EPSTEIN-BAR VIRUS,1
10.1158/1535-7163.MCT-20-0134,12435.0,Retargeted and stealth-modified oncolytic measles viruses for systemic cancer therapy in measles immune patients,Avian leukosis viruses and polypeptide display,1
10.1055/s-2007-1015660,15300154851.0,MR angiography of the carotic arteries: Influence of short and ultrashort echo times,System And Method For Non-Contrast Agent MR Angiography,1
10.1177/095632029800900602,16803.0,Identification of HIV-1 integrase inhibitors based on a four-point pharmacophore,SMALL MOLECULE INHIBITORS OF MYC AND USES THEREOF,1
10.1111/j.1349-7006.2008.00848.x,29187.0,"Lysophosphatidic acid stimulates the proliferation and motility of malignant pleural mesothelioma cells through lysophosphatidic acid receptors, LPA<inf>1</inf> and LPA<inf>2</inf>","LYMPHOKINE-ACTIVATING KILLER CELL INDUCTION SUPPRESSING FACTOR LAKSF, ITS PRODUCTION AND IMMUNOSUPPRESSING AGENT CONTAINING THE SAME FACTOR AS ACTIVE COMPONENT",1
10.1111/1759-7714.13889,21100202716.0,Non-small-cell lung cancer with ERBB2 mutation in non-tyrosine kinase domain benefits from pyrotinib: A case report,"Pyridine-2-formic acid derivative VII and application thereof in anti-platelet aggregation, anti-tumor and immunosuppressant development",1
10.3390/vaccines9060680,21100335701.0,Therapeutic potential of hla-i polyreactive mabs mimicking the hla-i polyreactivity and immunoregulatory functions of ivig,Diagnostic and therapeutic potential of HLA-E monospecific monoclonal IgG antibodies directed against tumor cell surface and soluble HLA-E,1
10.1111/j.1365-2958.2010.07331.x,20298.0,Temporal anatomy of an epigenetic switch in cell programming: The white-opaque transition of C. albicans,Polynucleotide sequences from Candida albicans encoding polypeptides associated with filamentous growth,1
10.1016/j.bios.2014.06.061,15437.0,A novel multi-amplification photoelectrochemical immunoassay based on copper(II) enhanced polythiophene sensitized graphitic carbon nitride nanosheet,Electrochemiluminescence sensor for detecting insulin by quenching CdS hybridized TiO2 nanoribbon through gold-curcumin nanoparticles,1
10.1016/j.jhep.2019.01.007,25297.0,A novel HBx genotype serves as a preoperative predictor and fails to activate the JAK1/STATs pathway in hepatocellular carcinoma,Cell culture method for improving hepatocyte proliferation activity,1
10.1016/j.ejpb.2018.09.021,21332.0,Depthwise-controlled scleral insertion of microneedles for drug delivery to the back of the eye,A METHOD FOR THE MANUFACTURING OF OCULAR MICRONEEDLE,1
10.4049/jimmunol.2001009,21275.0,IgG epitopes processed and presented by igg+ b cells induce suppression by human thymic-derived regulatory T Cells,SPECIFIC AND UNIQUE T CELL RESPONSES AND MOLECULAR SIGNATURES FOR TREATMENT AND DIAGNOSIS OF MYCOBACTERIUM TUBERCULOSIS,1
10.1007/s00264-010-1062-0,29817.0,"Efficacy of celecoxib, meloxicam and paracetamol in elderly Kashin-Beck Disease (KBD) patients",Multifunctional nano graphene oxide (NGO) compound for treating osteoarthritis (OA),1
10.3892/OL.2022.13359,19700176021.0,Comparing dosimetric and cancer control outcomes after intensity-modulated radiation therapy and tomotherapy for advanced cervical cancer,CBCT (cone beam computed tomography) image acquiring system and image preprocessing method thereof on basis of rotary collimator,1
10.3390/v12050542,19700188364.0,Cell-mediated responses to human metapneumovirus infection,RESPIRATORY SYNCYTIAL VIRUS VACCINE,1
10.1097/BRS.0000000000002197,13068.0,Posterior-only Hemivertebra Resection with Anterior Structural Reconstruction with Titanium Mesh Cage and Short Segmental Fusion for the Treatment of Congenital Scoliokyphosis,Application of IGFBP3 (insulin-like growth factor-binding protein 3) in preparation of products to diagnose type I neurofibromatosis with spinal deformity,1
10.19540/j.cnki.cjcmm.20210525.303,22937.0,Quality value transmitting of volatile components in personalized preparations: a case study of Menthae Haplocalycis Herba,Application of Eryngiolide A in preparation of MAO (Monoamine Oxidottom) inhibitor,1
10.1128/jvi.64.11.5342-5348.1990,20250.0,Characterization of herpes simplex virus type 2 transcription during latent infection of mouse trigeminal ganglia,Treatment of Non-Neuronal Cancer using HSV-1 Variants,1
10.14188/j.1671-8852.2015.03.038,4700152446.0,A meta analysis on effectiveness and safety of recombinant human brain natriuretic peptide in Chinese patients with acute heart failure,Application of metformin in preparation of medicine for treating viral myocarditis caused by Coxsackie virus B3,1
10.1002/ptr.3447,16573.0,"Ergosta-7,22-diene-2β,3α,9α-triol from the fruit bodies of Ganoderma lucidum induces apoptosis in human myelocytic HL-60 cells",AN EXTRACT OF NELUMBO NUCIFERA'S LEAVES FOR PREVENTING OR TREATING DIABETIC COMPLICATION,1
10.1021/acs.jmedchem.9b01832,23041.0,Identification of New Nitric Oxide-Donating Peptides with Dual Biofilm Eradication and Antibacterial Activities for Intervention of Device-Related Infections,Lactobacillus rhamnosus and application thereof,1
10.1155/2014/691574,130094.0,Acute and long-term toxicity of mango leaves extract in mice and rats,Chinese medicine formula of tranquilizing analgesic soup,1
10.1039/c1lc20258h,24738.0,Integrated and diffusion-based micro-injectors for open access cell assays,Medical object-taking device,1
10.1007/BF01954873,74305.0,Glucosamine enhanced sperm-egg binding but inhibited sperm-egg fusion in mouse,"ANTI-HUMAN SPERM ANTIBODY, AND ITS PRODUCTION AND USE",1
10.1270/jsbbs.21081,76879.0,ITRAQ-based quantitative proteomic analysis of japonica rice seedling during cold stress,Immobilized enzyme with pollen as carrier and preparation method thereof,1
10.1002/pca.2944,16533.0,Rapid authentication of agarwood by using liquid extraction surface analysis mass spectrometry (LESA-MS),"Mulberry fruit residue composition capable of assisting in reducing blood sugar, and preparation method of mulberry fruit residue composition",1
10.1016/j.nucmedbio.2014.06.004,17321.0,"[<sup>11</sup>C]NS8880, a promising PET radiotracer targeting the norepinephrine transporter",1-PHENETHYLPIPERIDINE DERIVATIVES AND THEIR USE AS OPIOID RECEPTOR LIGANDS,1
10.1161/01.CIR.92.10.2940,22581.0,A prospective randomized evaluation of implantable cardioverter-defibrillator size on unipolar defibrillation system efficacy,Canister designs for implantable cardioverter-defibrillators,1
10.1002/cyto.b.21974,18518.0,Biomarkers for the clinical development of antiviral therapies,"Methods for treating HCV comprising at least two direct acting antiviral agent, ribavirin but not interferon.",1
10.1016/S1875-5364(21)60031-6,59665.0,Comprehensive profiling and characterization of the absorbed components and metabolites in mice serum and tissues following oral administration of Qing-Fei-Pai-Du decoction by UHPLC-Q-Exactive-Orbitrap HRMS,"Separation method of mouse primary hepatocytes, mouse primary hepatocytes prepared by separation method and application thereof",1
10.1021/acs.biochem.9b00406,16867.0,The Zebrafish Cytochrome b<inf>5</inf>/Cytochrome b<inf>5</inf> Reductase/NADH System Efficiently Reduces Cytoglobins 1 and 2: Conserved Activity of Cytochrome b<inf>5</inf>/Cytochrome b<inf>5</inf> Reductases during Vertebrate Evolution,MODIFIED HEMOGLOBIN MOLECULES AND USES THEREOF,1
10.1210/er.2004-0028,26038.0,Role of aldose reductase and oxidative damage in diabetes and the consequent potential for therapeutic options,Methods involving aldose reductase inhibitors,1
10.1016/j.omtn.2016.12.009,21100218543.0,siRNA-Encapsulated Hybrid Nanoparticles Target Mutant K-ras and Inhibit Metastatic Tumor Burden in a Mouse Model of Lung Cancer,CANCER VACCINES AGAINST MUCOSAL ANTIGENS AND METHODS OF MAKING AND USING THE SAME,1
10.1111/jdv.12518,24790.0,"Efficacy and safety of topical glycopyrrolate in patients with facial hyperhidrosis: A randomized, multicentre, double-blinded, placebo-controlled, split-face study",Composition for Treating Atopic Dermatitis Comprising Procyanidin B3 Compound or Novel Condensed Tannin Compound As an Active Ingredient,1
10.1016/j.ejphar.2017.04.013,21333.0,Mechanistic evaluation of tapentadol in reducing the pain perception using in-vivo brain and spinal cord microdialysis in rats,NEW USES OF A 5-HT4 RECEPTOR AGONIST,1
10.1111/jce.13651,23832.0,"High-power and short-duration ablation for pulmonary vein isolation: Safety, efficacy, and long-term durability",Catheter with multiple microfabricated temperature sensors,1
10.1016/S1381-1177(99)00118-6,17619.0,Epoxidation of indene by chloroperoxidase,Stereoselective epoxidation of alkenes by chloroperoxidase,1
10.1016/j.jsxm.2017.06.006,130029.0,"Efficacy and Safety of a Fixed-Dose Combination Therapy of Tamsulosin and Tadalafil for Patients With Lower Urinary Tract Symptoms and Erectile Dysfunction: Results of a Randomized, Double-Blinded, Active-Controlled Trial",Composition for preventing or treating Peyronie's disease comprising Vitrin inhibitor,1
10.1373/clinchem.2007.102350,26786.0,Disposable reagentless electrochemical immunosensor array based on a biopolymer/sol-gel membrane for simultaneous measurement of several tumor markers,Automatic sampling distinguishing chemiluminescent multi-component immunological detection system and analysis method of same,1
10.1016/j.freeradbiomed.2022.06.222,15095.0,"Influence of plasma halide, pseudohalide and nitrite ions on myeloperoxidase-mediated protein and extracellular matrix damage",Hydroxamic acids for reperfusion injury,1
10.1002/bit.10239,15477.0,Surface immobilization of galactose onto aliphatic biodegradable polymers for hepatocyte culture,HYALURONIC ACID NANOGELS FOR PHYSICAL ENCAPSULATION OF MACROMOLECULAR DRUGS AND FABRICATION METHOD THEREOF,1
10.1016/j.colsurfb.2019.110397,26590.0,Asialoglycoprotein receptor targeted micelles containing carborane clusters for effective boron neutron capture therapy of hepatocellular carcinoma,Preparation and application of sugar-targeted modified siRNA nanoparticle,1
10.1007/s11032-015-0226-4,19357.0,Identification of three major R genes responsible for broad-spectrum blast resistance in an indica rice accession,Application of rice blast resistance related gene OsCOL9,1
10.1016/j.bbrc.2009.11.153,16845.0,Insulin amyloid fibrillation studied by terahertz spectroscopy and other biophysical methods,Surface plasma resonator chip based on modification of hyaluronic acid assisted by dopamine and preparation method of chip,1
10.18632/oncotarget.3533,19900191708.0,HSPA12B: A novel facilitator of lung tumor growth,Traditional Chinese medicine composition for treating malignant tumor and application thereof,1
10.1007/s00330-020-07656-1,16687.0,Combined hepatocellular-cholangiocarcinoma: can we use contrast-enhanced ultrasound Liver Imaging Reporting and Data System (LI-RADS) to predict the patient’s survival?,"Medical examination report centralized auditing method and system, storage medium and electronic device",1
10.1002/cncr.28981,28785.0,Serum-based miRNAs in the prediction and detection of recurrence in melanoma patients,METHOD FOR PREDICTING DEVELOPMENT OF MELANOMA BRAIN METASTASIS,1
10.1089/end.2013.0760,19972.0,Safety and efficacy of minimally invasive percutaneous nephrolithotomy in treatment of calculi in horseshoe kidneys,Flushing valve for medical use,1
10.3969/j.issn.1001-1978.2012.12.009,22908.0,Regulatory effects of Litsea Coreana level on the expressions of Leptin and TGF-β1 to prevent the hepatic fibrosis in rats,External preparation for preventing and treating male sexual dysfunction and application thereof,1
10.1002/cbdv.201100424,130069.0,"Variation of epimedins A - C and icariin in ten representative populations of epimedium brevicornu maxim., and implications for utilization",USE OF PHTHALIDE DERIVATIVES FOR THE TREATMENT AND PREVENTION OF DIABETES MELLITUS,1
10.18821/0869-2084-2016-6-375-379,27231.0,The mass-spectrometric analysis of maldi-tof in identification and typing of strains of comma bacillus,METHOD FOR DIFFERENTIATING ATOXIGENIC STRAINS OF CHOLERA VIBRIO FROM TOXIGENIC STRAINS,1
10.1097/MPA.0000000000000420,26660.0,Intra-Abdominal Pressure Reduction after Percutaneous Catheter Drainage Is a Protective Factor for Severe Pancreatitis Patients with Sterile Fluid Collections,Negative-pressure intelligent nursing bed facilitating defecation,1
10.1016/j.chroma.2010.06.039,130000.0,Chemical markers' fishing and knockout for holistic activity and interaction evaluation of the components in herbal medicines,"2, 3, 5, 7-tetrasubstituted dihydro-pyrazolo piperidine derivative and preparation method and application thereof",1
10.1080/09540105.2016.1183599,15092.0,"Establishment of a monoclonal antibody-based indirect enzyme-linked immunosorbent assay for the detection of trimethoprim residues in milk, honey, and fish samples",Hybridoma cell strain SS0708 capable of secreting maduramicin specific monoclonal antibodies and application of such hybridoma cell strain SS0708,1
10.3724/SP.J.1006.2016.01479,21100838400.0,Race distribution of soybean cyst nematode in the main soybean producing area of Huang-Huai Rivers Valley,Construction of soybean CRISPR/Cas9 system and application of soybean CRISPR/Cas9 system in soybean gene modification,1
10.1097/00007890-199309000-00039,19278.0,In utero engraftment of fully h-2-incompatible versus congenic adult bone marrow transferred into nonanemic or anemic murine fetal recipients,TREATMENT OF GRAFT-VERSUS-HOST DISEASE DISORDERS USING RAR ANTAGONISTS,1
10.1038/s41591-021-01442-2,15819.0,The Tuberculosis Drug Accelerator at year 10: what have we learned?,BORTEZOMIB AS AN INHIBITOR OF MYCOBACTERIAL CASEINOLYTIC PROTEASE (CLP) FOR TREATMENT OF TUBERCULOSIS,1
10.1021/jm900843g,23041.0,"Inhibitors of human immunodeficiency virus type 1 (HIV-1) attachment. 5. An evolution from indole to azaindoles leading to the discovery of 1-(4-benzoylpiperazin-1-yl)-2-(4,7-dimethoxy-1H-pyrrolo[2,3-c]-pyridin-3-yl) ethane-1,2-dione (BMS-488043), a drug candidate that demonstrates antiviral activity in HIV-1-infected subjects",HEPATITIS C VIRUS INHIBITORS.,1
10.4268/cjcmm20121135,22937.0,Study on detoxication of Kansui Radix on normal liver cells LO2 after stir-baking with vinegar,Traditional Chinese medicine composition capable of promoting fracture healing and preparation method of traditional Chinese medicine composition,1
10.1016/j.nantod.2015.11.009,4700152457.0,Nanomedicines for endothelial disorders,Nanostructures for drug delivery,1
10.2169/internalmedicine.55.5569,26627.0,Juvenile-onset sporadic amyotrophic lateral sclerosis with a frameshift FUS gene mutation presenting unique neuroradiological findings and cognitive impairment,Identification of a gene associated with spinocerebellar ataxia type 5 and methods of use,1
10.1016/S0076-6879(80)67048-7,14131.0,[46] Determination of Vitamin D and Its Metabolites in Plasma,"2alpha-Methyl and 2beta-Methyl Analogs of 19,26-Dinor-1alpha,25-Dihydroxyvitamin D3 and Their Uses",1
10.1364/BOE.420394,21100205908.0,Multi-MHz MEMS-VCSEL swept-source optical coherence tomography for endoscopic structural and angiographic imaging with miniaturized brushless motor probes,Fiber optic imaging endoscope interferometer with at least one faraday rotator,1
10.1038/s41467-019-09255-1,19700182758.0,Multi-region sequencing unveils novel actionable targets and spatial heterogeneity in esophageal squamous cell carcinoma,Methylation data-based cancer type prediction method and apparatus,1
10.1101/gr.5063306,22214.0,ASEtrap: A biological method for speeding up the exploration of spliceomes,"Cloning, expression and characterization of the SPG4 gene responsible for the most common form of autosomal dominant spastic paraplegia",1
10.7150/THNO.58515,21100207003.0,Fiber scaffold bioartificial liver therapy relieves acute liver failure and extrahepatic organ injury in pigs,Immortalization chicken embryo hepatocyte line as well as preparation method and application thereof,1
10.1039/d2an00094f,23909.0,Secretory expression and purification of recombinant PLA2R epitopes for the detection of anti-PLA2R autoantibody in serum,Anti-chlorothalonil monoclonal antibody hybridoma cell strain and application thereof,1
